claim_id,policy_id,claim_date,incident_date,policy_start_date,policy_expiry_date,report_delay_days,vehicle_make,vehicle_model,vehicle_type,damage_type,damage_location,damage_severity,agent_channel,coverage_type,is_weekend_claim,has_prior_claims,car_driveable,vehicle_age_years,mileage,driver_age,prior_claims_count,customer_tenure_years,manufacture_year,typical_market_value_gbp,part_cost_index,vehicle_value,repair_estimate_gbp,repair_to_value_ratio,is_high_value_vehicle,pre_ml_decision,pre_ml_label,repair_decision
CLM000001,POL004371,2016-04-22,2016-04-15,2015-11-17,2016-11-16,7,Ford,Fiesta,Van,flood,front,severe,online,third_party_fire_theft,False,True,True,1,185994,41,3,5,2015,12564.84,0.768,11559.65,3840.0,0.3322,False,0.0,0.0,sent_to_garage
CLM000003,POL004849,2017-12-04,2017-11-08,2013-03-23,2014-03-23,26,Audi,Q3,SUV,collision,front,moderate,online,third_party_fire_theft,False,True,True,5,166179,53,1,17,2012,34648.87,1.769,20789.32,3538.0,0.1702,True,0.0,1.0,sent_to_garage
CLM000005,POL000532,2021-01-29,2021-01-26,2021-01-04,2022-01-04,3,Vauxhall,Corsa,Hatchback,collision,front,moderate,online,comprehensive,False,True,True,14,176117,32,2,8,2007,12411.59,0.685,1241.16,1370.0,1.1038,False,1.0,1.0,scrapped_by_handler
CLM000006,POL006222,2017-10-28,2017-10-19,2012-03-28,2013-03-28,9,Nissan,Leaf,SUV,collision,rear,moderate,phone,comprehensive,True,True,False,11,109082,50,0,5,2006,31239.86,0.978,3748.78,1760.4,0.4696,False,0.0,0.0,sent_to_garage
CLM000007,POL004298,2020-03-23,2020-03-05,2012-03-18,2013-03-18,18,Volkswagen,Polo,Van,theft_damage,rear,moderate,broker,third_party,False,True,True,9,147354,50,2,2,2011,16645.32,0.912,4660.69,1641.6,0.3522,False,0.0,0.0,sent_to_garage
CLM000008,POL004439,2016-04-30,2016-04-05,2013-01-22,2014-01-22,25,Vauxhall,Corsa,Van,collision,front,minor,phone,third_party_fire_theft,True,True,False,16,59667,44,1,10,2000,,,,,,False,0.0,0.0,sent_to_garage
CLM000010,POL002544,2018-09-25,2018-09-10,2016-01-09,2017-01-08,15,Audi,A3,Hatchback,theft_damage,rear,minor,direct,comprehensive,False,True,True,19,102794,41,1,18,1999,,,,,,False,0.0,0.0,sent_to_garage
CLM000011,POL002094,2019-06-14,2019-05-19,2015-10-26,2016-10-25,26,Toyota,RAV4,Estate,collision,front,moderate,direct,comprehensive,False,True,False,1,72690,45,0,15,2018,31641.09,0.908,29109.8,1816.0,0.0624,True,0.0,0.0,sent_to_garage
CLM000012,POL005234,2017-05-31,2017-05-26,2014-03-31,2015-03-31,5,Audi,A6,Motorbike,vandalism,rear,severe,app,comprehensive,False,False,False,17,129907,61,1,15,2000,,,,,,False,1.0,1.0,scrapped_by_handler
CLM000013,POL003636,2019-04-14,2019-03-18,2015-06-29,2016-06-28,27,Nissan,Leaf,Van,flood,side,minor,broker,comprehensive,True,True,False,11,154893,60,0,1,2008,29205.77,0.987,3504.69,394.8,0.1126,False,0.0,0.0,sent_to_garage
CLM000014,POL004646,2019-07-24,2019-07-15,2016-10-26,2017-10-26,9,BMW,1 Series,Motorbike,flood,roof,moderate,direct,comprehensive,False,True,True,11,146547,51,0,1,2008,29197.18,1.69,3503.66,4225.0,1.2059,False,1.0,1.0,scrapped_by_handler
