claim_id,policy_id,claim_date,incident_date,policy_start_date,policy_expiry_date,report_delay_days,vehicle_make,vehicle_model,vehicle_type,damage_type,damage_location,damage_severity,agent_channel,coverage_type,is_weekend_claim,has_prior_claims,car_driveable,vehicle_age_years,mileage,driver_age,prior_claims_count,customer_tenure_years,manufacture_year,typical_market_value_gbp,part_cost_index,vehicle_value,repair_estimate_gbp,repair_to_value_ratio,is_high_value_vehicle,pre_ml_decision,pre_ml_label,repair_decision,model_v1_score,model_v1_decision,model_v1_observed_outcome,model_v2a_score,model_v2a_decision,model_v2b_score,model_v2b_decision
CLM000002,POL002479,2022-06-27,2022-06-17,2019-10-08,2020-10-07,10,Hyundai,i20,Sedan,flood,roof,moderate,phone,comprehensive,False,True,True,20,6063,45,1,14,2002,,,,,,False,,,sent_to_garage,0.1955,0,0,0.1165,0,0.3829,0
CLM000004,POL003938,2022-05-26,2022-05-23,2022-05-10,2023-05-10,3,Hyundai,i20,Sedan,collision,roof,minor,app,comprehensive,False,True,True,5,192247,60,0,18,2017,15350.09,0.776,9210.05,465.6,0.0506,False,,,sent_to_garage,0.1956,0,0,0.0673,0,0.1452,0
CLM000009,POL000724,2022-04-25,2022-04-08,2020-03-09,2021-03-09,17,Volkswagen,Golf,Motorbike,flood,side,severe,direct,third_party_fire_theft,False,False,True,2,113940,17,2,1,2020,24218.98,0.975,20343.94,3900.0,0.1917,True,,,sent_to_garage,0.3229,0,0,0.0481,0,0.2319,0
CLM000016,POL001284,2024-10-24,2024-09-25,2019-07-07,2020-07-06,29,Nissan,Qashqai,Sedan,fire,front,severe,app,third_party,False,False,True,13,68614,50,2,4,2011,27936.16,0.9,2793.62,4500.0,1.6108,False,,,scrapped_by_model,0.9998,1,1,0.9993,1,0.9999,1
CLM000022,POL002002,2022-07-11,2022-07-07,2016-08-20,2017-08-20,4,Toyota,RAV4,Sedan,flood,multiple,moderate,broker,comprehensive,False,True,True,16,199176,34,1,5,2006,31981.25,0.879,3198.12,3076.5,0.962,False,,,scrapped_by_model,0.9996,1,1,0.9987,1,0.9751,0
CLM000030,POL003857,2024-06-01,2024-05-19,2012-04-07,2013-04-07,13,Ford,Mondeo,Van,theft_damage,roof,moderate,app,comprehensive,True,True,False,19,146863,31,0,6,2005,22489.19,0.848,2248.92,2120.0,0.9427,False,,,scrapped_by_model,0.9988,1,1,0.991,0,0.999,1
CLM000031,POL004206,2024-02-26,2024-01-28,2012-01-18,2013-01-17,29,Ford,Fiesta,Motorbike,vandalism,side,moderate,direct,comprehensive,False,False,True,17,20694,30,1,20,2007,12313.37,0.763,1231.34,1144.5,0.9295,False,,,sent_to_garage,0.9951,0,1,0.9874,0,0.9721,0
CLM000033,POL001840,2024-12-01,2024-11-07,2022-07-31,2023-07-31,24,Volkswagen,Polo,Estate,fire,front,minor,broker,comprehensive,True,True,False,0,13685,41,2,2,2024,16088.74,0.916,16088.74,458.0,0.0285,False,,,sent_to_garage,0.0188,0,0,0.0274,0,0.061,0
CLM000036,POL001070,2023-02-17,2023-01-22,2016-06-09,2017-06-09,26,BMW,1 Series,Van,collision,multiple,minor,app,comprehensive,False,True,True,19,116572,60,0,8,2004,28543.93,1.708,2854.39,1366.4,0.4787,False,,,sent_to_garage,0.4915,0,1,0.838,0,0.6249,0
CLM000040,POL003783,2022-07-11,2022-07-01,2018-06-10,2019-06-10,10,Mercedes,E-Class,Motorbike,flood,front,minor,app,comprehensive,False,True,True,1,131709,69,0,10,2021,53065.16,1.998,48819.95,999.0,0.0205,True,,,sent_to_garage,0.1717,0,0,0.024,0,0.0566,0
CLM000041,POL002469,2022-02-21,2022-01-23,2021-07-02,2022-07-02,29,Mercedes,E-Class,SUV,vandalism,side,moderate,broker,third_party,False,True,True,2,162927,55,1,17,2020,54074.39,2.057,45422.49,3085.5,0.0679,True,,,sent_to_garage,0.5252,0,0,0.034,0,0.374,0
CLM000043,POL003955,2024-06-10,2024-06-07,2016-08-05,2017-08-05,3,Audi,Q3,Van,flood,rear,minor,direct,comprehensive,False,False,True,2,142998,31,0,13,2022,35926.34,1.778,30178.13,800.1,0.0265,True,,,sent_to_garage,0.1143,0,0,0.1382,0,0.1738,0
CLM000045,POL004700,2023-05-19,2023-04-20,2014-09-14,2015-09-14,29,Honda,HR-V,Motorbike,fire,rear,moderate,phone,comprehensive,False,True,True,18,49753,34,1,10,2005,23752.67,0.884,2375.27,1591.2,0.6699,False,,,sent_to_garage,0.6716,0,0,0.0903,0,0.2766,0
CLM000048,POL001629,2024-12-19,2024-11-29,2012-03-24,2013-03-24,20,Volkswagen,Tiguan,Hatchback,collision,side,moderate,online,comprehensive,False,False,False,9,23044,25,0,20,2015,33974.57,1.087,9512.88,1630.5,0.1714,False,,,sent_to_garage,0.054,0,0,0.0016,0,0.0466,0
CLM000054,POL003755,2024-04-30,2024-04-23,2016-04-12,2017-04-12,7,Nissan,Qashqai,Motorbike,theft_damage,side,severe,direct,comprehensive,False,False,False,19,67502,29,0,3,2005,29204.01,0.9,2920.4,3600.0,1.2327,False,,,scrapped_by_model,1.0,1,1,0.9998,1,0.9999,1
CLM000057,POL002592,2023-07-16,2023-07-10,2023-06-15,2024-06-14,6,Nissan,Leaf,Motorbike,vandalism,side,moderate,phone,third_party,True,False,True,9,27043,32,0,16,2014,28512.92,1.004,7983.62,1506.0,0.1886,False,,,sent_to_garage,0.0703,0,0,0.066,0,0.0481,0
