vehicle_make,vehicle_model,manufacture_year,typical_market_value_gbp,part_cost_index
Ford,Fiesta,2004,12328.75,0.747
Ford,Fiesta,2005,12430.32,0.759
Ford,Fiesta,2006,11513.01,0.771
Ford,Fiesta,2007,12313.37,0.763
Ford,Fiesta,2008,11553.74,0.748
Ford,Fiesta,2009,11844.96,0.769
Ford,Fiesta,2010,12172.64,0.765
Ford,Fiesta,2011,11932.1,0.738
Ford,Fiesta,2012,12065.5,0.73
Ford,Fiesta,2013,12393.16,0.756
Ford,Fiesta,2014,12309.71,0.743
Ford,Fiesta,2015,12564.84,0.768
Ford,Fiesta,2016,12334.06,0.736
Ford,Fiesta,2017,11960.07,0.729
Ford,Fiesta,2018,11585.15,0.758
Ford,Fiesta,2019,12293.71,0.771
Ford,Fiesta,2020,11790.99,0.744
Ford,Fiesta,2021,11963.47,0.736
Ford,Fiesta,2022,11555.91,0.749
Ford,Fiesta,2023,11672.29,0.758
Ford,Fiesta,2024,11924.58,0.765
Ford,Focus,2004,18360.48,0.791
Ford,Focus,2005,18598.07,0.815
Ford,Focus,2006,17797.46,0.79
Ford,Focus,2007,18328.49,0.783
Ford,Focus,2008,17459.83,0.776
Ford,Focus,2009,18516.46,0.808
Ford,Focus,2010,18369.3,0.813
Ford,Focus,2011,17926.05,0.803
Ford,Focus,2012,17351.63,0.781
Ford,Focus,2013,18303.13,0.799
Ford,Focus,2014,18117.42,0.813
Ford,Focus,2015,18242.49,0.803
Ford,Focus,2016,18106.57,0.791
Ford,Focus,2017,17155.47,0.797
Ford,Focus,2018,17486.25,0.796
Ford,Focus,2019,18636.13,0.787
Ford,Focus,2020,17204.94,0.79
Ford,Focus,2021,17628.47,0.808
Ford,Focus,2022,18102.66,0.814
Ford,Focus,2023,18295.76,0.796
Ford,Focus,2024,18565.24,0.784
Ford,Mondeo,2004,20949.97,0.829
Ford,Mondeo,2005,22489.19,0.848
Ford,Mondeo,2006,21254.8,0.85
Ford,Mondeo,2007,21235.09,0.86
Ford,Mondeo,2008,21881.54,0.844
Ford,Mondeo,2009,21563.33,0.857
Ford,Mondeo,2010,21695.99,0.829
Ford,Mondeo,2011,21159.61,0.874
Ford,Mondeo,2012,22898.88,0.86
Ford,Mondeo,2013,21484.91,0.874
Ford,Mondeo,2014,22613.25,0.861
Ford,Mondeo,2015,21888.6,0.838
Ford,Mondeo,2016,21112.06,0.871
Ford,Mondeo,2017,21902.71,0.835
Ford,Mondeo,2018,21573.1,0.854
Ford,Mondeo,2019,21288.9,0.868
Ford,Mondeo,2020,22568.74,0.861
Ford,Mondeo,2021,21850.6,0.856
Ford,Mondeo,2022,22185.02,0.858
Ford,Mondeo,2023,21085.78,0.846
Ford,Mondeo,2024,20991.55,0.85
Ford,Kuga,2004,27523.61,0.881
Ford,Kuga,2005,26889.53,0.905
Ford,Kuga,2006,27077.66,0.923
Ford,Kuga,2007,28226.97,0.892
Ford,Kuga,2008,28254.56,0.874
Ford,Kuga,2009,29283.97,0.899
Ford,Kuga,2010,28791.66,0.877
